beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Dos Rios Vienna Lager,1083,577,American-Style Lager,North American Lager,Glenwood Canyon Brewing Company,402 Seventh Street,Glenwood Springs,Colorado
Rye On,1084,371,American-Style Lager,North American Lager,Chama River Brewing,4939 Pan American Freeway NE,Albuquerque,New Mexico
Amber Ale,1262,1101,American-Style Amber/Red Ale,North American Ale,San Marcos Brewery & Grill,1080 West San Marcos Boulevard,San Marcos,California
Amber Ale,1445,1263,American-Style Amber/Red Ale,North American Ale,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
Gust-N-Gale Porter,1755,1002,Porter,Irish Ale,Pizzeria Uno Chicago Grill & Brewery,61 US Highway 1 South,Metuchen,New Jersey
Yorkshire Stout,1853,1280,American-Style Stout,North American Ale,Trap Rock Restaurant and Brewery,279 Springfield Avenue,Berkeley Heights,New Jersey
Pride & Joy Mild Ale,102,1260,English-Style Pale Mild Ale,British Ale,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana
Yeti Imperial Stout,833,604,American-Style Imperial Stout,North American Ale,Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado
Hitman Gold,5288,1320,American-Style Pale Ale,North American Ale,Valley Brewing Company,1950 W. Fremont St.,Stockton,California
Newport Storm Hurricane Amber Ale,5479,405,American-Style Amber/Red Ale,North American Ale,Costal Extreme Brewing Company,307 Oliphant Lane,Middletown,Rhode Island
Horizon Red Ale,5721,1220,American-Style Amber/Red Ale,North American Ale,Summit Brewing,910 Montreal Circle,Saint Paul,Minnesota
One Oatmeal Stout,5801,426,Oatmeal Stout,British Ale,Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,Michigan
Dark Element,5886,1411,Specialty Beer,Other Style,Element Brewing Company,30 Bridge St,Millers Falls,Massachusetts
Red Ale,3297,895,American-Style Amber/Red Ale,North American Ale,Murphy's Wagon Wheel,107 North Lincoln Avenue,Hastings,Nebraska
IPA,3514,1029,American-Style India Pale Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Penn Weizen,3868,975,South German-Style Hefeweizen,German Ale,Penn Brewery,800 Vinial St.,Pittsburgh,Pennsylvania
Scarlet Lady Ale,3877,1211,Extra Special Bitter,British Ale,Stoudt's Brewery,2800 North Reading Road,Adamstown,Pennsylvania
Hop 15 Ale,3901,1009,Imperial or Double India Pale Ale,North American Ale,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California
Russian Imperial Stout,4806,853,American-Style Imperial Stout,North American Ale,Michigan Brewing,1093 Highview Drive,Webberville,Michigan
IPA,2226,552,American-Style India Pale Ale,North American Ale,Fox River Brewing #1,1501 Arboretum Drive,Oshkosh,Wisconsin
Autumn Strong Lager,2272,1263,German-Style Oktoberfest,German Lager,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
Im Paled Ale,2293,857,American-Style India Pale Ale,North American Ale,Middle Ages Brewing,120 Wilkinson Street,Syracuse,New York
Dundee Scotch Ale,4030,1316,Scotch Ale,British Ale,Upstream Brewing Old Market,514 South Eleventh Street,Omaha,Nebraska
Hop Knot IPA,4057,551,American-Style India Pale Ale,North American Ale,Four Peaks Brewing,1340 East Eighth Street #103,Tempe,Arizona
Samuel Adams Honey Porter,4077,157,Porter,Irish Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Great Northern Porter,4298,1220,Porter,Irish Ale,Summit Brewing,910 Montreal Circle,Saint Paul,Minnesota
Hop Henge Imperial IPA,4632,441,Imperial or Double India Pale Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Imperial Stout,1370,907,American-Style Stout,North American Ale,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin
Danger Ale,144,447,American-Style Brown Ale,North American Ale,Dick's Brewing,5945 Prather Road,Centralia,Washington
Beer Town Brown,190,255,American-Style Brown Ale,North American Ale,BridgePort Brewing,1313 NW Marshall Street,Portland,Oregon
Wild Raspberry Ale,4963,604,Fruit Beer,Other Style,Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado
King's Peak Porter,5393,1304,Porter,Irish Ale,Uinta Brewing Compnay,1722 South Fremont Drive (2375 West),Salt Lake City,Utah
Manheim Stout,5731,718,American-Style Stout,North American Ale,JoBoy's Brew Pub,87 Doe Run Rd,Manheim,Pennsylvania
Sun Block - Belgian Style Witte,5750,341,Belgian-Style White,Belgian and French Ale,Captain Lawrence Brewing Company,99 Castleton Street,Pleasantville,New York
Honey Rye Ale,5910,10,Specialty Honey Lager or Ale,Other Style,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Middle Ages Raspberry Ale,4728,857,Fruit Beer,Other Style,Middle Ages Brewing,120 Wilkinson Street,Syracuse,New York
Ten Fidy,4744,956,American-Style Imperial Stout,North American Ale,Oskar Blues Grill and Brew,303 Main Street,Lyons,Colorado
Creme Brulee Imperial Milk Stout,4887,1173,Sweet Stout,British Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Liberty White Ale,4149,784,Belgian-Style White,Belgian and French Ale,Liberty Steakhouse and Brewery,1321 Celebrity Circle,Myrtle Beach,South Carolina
Uno Mas,2464,672,American-Style Lager,North American Lager,Hoppers Seafood & Grill,890 East Fort Union Boulevard,Midvale,Utah
Singletrack Copper Ale,2834,160,American-Style Pale Ale,North American Ale,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado
Big Horn Bluesberry,2979,326,Light American Wheat Ale or Lager,Other Style,C.B. & Potts of Cheyenne,1650 Dell Range Boulevard,Cheyenne,Wyoming
Porter,3678,1283,Porter,Irish Ale,Triple Rock Brewery,1920 Shattuck Avenue,Berkeley,California
Wintertime Ale 1992,3264,919,American-Style Brown Ale,North American Ale,North Coast Brewing Company,455 North Main Street,Fort Bragg,California
IPA,3447,350,American-Style India Pale Ale,North American Ale,Carolina Brewery,460 West Franklin Street,Chapel Hill,North Carolina
Liquid Sunshine Blonde Ale,3480,674,Golden or Blonde Ale,North American Ale,Hoppy Brewing Company,6300 Folsom Boulevard,Sacramento,California
Edison Light Beer,1414,906,American-Style Lager,North American Lager,New Century Brewing Company,PO Box 1498,Boston,Massachusetts
Grist Mill Golden,1746,802,American-Style Pale Ale,North American Ale,Long Valley Pub & Brewery,1 Fairmount Road,Long Valley,New Jersey
Staggering Elk,4431,509,American-Style Lager,North American Lager,Estes Park Brewery,470 Prospect Village Dr.,Estes Park,Colorado
Bock,2004,769,Traditional German-Style Bock,German Lager,Lakefront Brewery,1872 North Commerce Street,Milwaukee,Wisconsin
Oktoberfest (discontinued),2865,1039,German-Style Oktoberfest,German Lager,Rail House Restaurant and Brewpub,2029 Old Peshtigo Road,Marinette,Wisconsin
Full Moon Belgian White Ale,3970,894,Belgian-Style White,Belgian and French Ale,Mudshark Brewing,210 Swanson Avenue,Lake Havasu City,Arizona
Indian Brown Ale,4013,459,American-Style Brown Ale,North American Ale,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware
Pawn Shop Porter,4109,25,Porter,Irish Ale,Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania
Long Trail Hefeweizen,4355,801,South German-Style Hefeweizen,German Ale,Long Trail Brewing Co,Route 4 & 100A,Bridgewater Corners,Vermont
Bud Dry,4377,44,American-Style Light Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Blackout,4492,470,German-Style Schwarzbier,German Lager,DuClaw,901 S. Bond St.,Baltimore,Maryland
