beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Prohibition Porter,2523,340,Porter,Irish Ale,Capitol City Brewing #4,2700 South Quincy Street,Arlington,Virginia
Porter,1885,403,Porter,Irish Ale,Corner Pub,100 Main Street,Reedsburg,Wisconsin
Canadian Light,1887,408,American-Style Lager,North American Lager,Courthouse Pub,1001 South Eighth Street,Manitowoc,Wisconsin
Itasca Extra Pale Ale,1918,1066,English-Style Pale Mild Ale,British Ale,Rock Bottom Restaurant & Brewery - Minneapolis,800 LaSalle Plaza,Minneapolis,Minnesota
Frambozen,3365,905,Belgian-Style Fruit Lambic,Belgian and French Ale,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado
Playland Pale Ale,3502,92,American-Style Pale Ale,North American Ale,Beach Chalet Brewery,1000 Great Highway,San Francisco,California
Susquehanna Stout,3795,45,American-Style Stout,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Amish Four Grain,3879,771,American-Style Pale Ale,North American Ale,Lancaster Brewing Co.,302 N. Plum St.,Lancaster,Pennsylvania
Lancaster Winter Warmer,3892,771,Old Ale,British Ale,Lancaster Brewing Co.,302 N. Plum St.,Lancaster,Pennsylvania
Goosinator Smoked Doppelbock 2007,72,779,American-Style Lager,North American Lager,Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado
Firkin IPA,665,829,American-Style India Pale Ale,North American Ale,Maritime Pacific Brewing,1514 NW Leary Way,Seattle,Washington
Wooly Bully,915,1143,German-Style Oktoberfest,German Lager,Siletz Roadhouse & Brewery,243 North Gaither Street,Siletz,Oregon
India Pelican Ale,2421,974,American-Style Pale Ale,North American Ale,Pelican Pub & Brewery,33180 Cape Kiwanda Drive,Pacific City,Oregon
Black Wolf Ale,2943,602,American-Style Pale Ale,North American Ale,Great Dane Pub and Brewing #1,123 East Doty Street,Madison,Wisconsin
Weisen,3156,1236,South German-Style Hefeweizen,German Ale,Taylor Brewing,717 East Butterfield Road,Lombard,Illinois
Black Dog Yellowstone Ale,3426,1175,American-Style Pale Ale,North American Ale,Spanish Peaks Brewing,Polson MT 59860,Polson,Montana
Dark Wheat,3601,1142,American-Style Lager,North American Lager,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Whirlwind Wit,3824,1326,Belgian-Style White,Belgian and French Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Festbier,3825,1326,German-Style Oktoberfest,German Lager,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Buzzsaw Brown,124,441,American-Style Brown Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Raspberry Wheat Ale,2172,872,Light American Wheat Ale or Lager,Other Style,Mishawaka Brewing,3703 North Main Street,Mishawaka,Indiana
Small Beer,2566,39,English-Style Pale Mild Ale,British Ale,Anchor Brewing,1705 Mariposa Street,San Francisco,California
Fire Rock Pale Ale,1237,751,American-Style Pale Ale,North American Ale,Kona Brewing,75-5629 Kuakini Highway,Kailua-Kona,Hawaii
Full Tilt IPA,1422,632,American-Style India Pale Ale,North American Ale,Harbor City Brewing,535 West Grand Avenue,Port Washington,Wisconsin
Arizona Peach,4061,551,Belgian-Style Fruit Lambic,Belgian and French Ale,Four Peaks Brewing,1340 East Eighth Street #103,Tempe,Arizona
Upland Wheat Ale,4233,1313,Light American Wheat Ale or Lager,Other Style,Upland Brewing,350 West Eleventh Street,Bloomington,Indiana
Ashland Amber,4291,328,American-Style Amber/Red Ale,North American Ale,Caldera Brewing,540 Clover Lane,Ashland,Oregon
Toasted Lager,4406,144,American-Style Lager,North American Lager,Blue Point Brewing,161 River Avenue,Patchogue,New York
ESB,4461,1391,Extra Special Bitter,British Ale,Yazoo Brewing,910 Division St,Nashville,Tennessee
Cold Mountain Winter Ale,4468,658,Winter Warmer,Other Style,Highland Brewing Company,12 Old Charlotte Highway,Asheville,North Carolina
Southern Tier Harvest Ale,4877,1173,Extra Special Bitter,British Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Double Mountain Pale Ale,5245,462,American-Style Pale Ale,North American Ale,Double Mountain Brewery & Taproom,8 Fourth Street,Hood River,Oregon
Miller Genuine Draft 64,5566,863,American-Style Light Lager,North American Lager,Miller Brewing,3939 W. Highland Blvd,Milwaukee,Wisconsin
Elm City Schwarzbier,5609,495,German-Style Schwarzbier,German Lager,Elm City Brewing Co,222 West St # 46,Keene,New Hampshire
Michelob Winter's Bourbon Cask Ale,5676,44,Winter Warmer,Other Style,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Ring Tail Pale Ale,5692,1035,American-Style Pale Ale,North American Ale,Raccoon Lodge and Brewpub / Cascade Brewing,7424 SW Beaverton-Hillsdale Hwy,Portland,Oregon
Scratch #25 2009 Magical Moustache Rye,5701,1286,American Rye Ale or Lager,Other Style,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Celestial Gold,4673,1248,German-Style Pilsener,German Lager,The Church Brew Works,3525 Liberty Avenue,Pittsburgh,Pennsylvania
Furious Beer,58,1221,American-Style India Pale Ale,North American Ale,Surly Brewing,4811 Dusharme Drive,Brooklyn Center,Minnesota
Irish Stout,712,842,American-Style Stout,North American Ale,McMenamins Mill Creek,13300 Bothell-Everett Highway #304,Mill Creek,Washington
Adam,869,622,Old Ale,British Ale,Hair of the Dog Brewing,4509 SE 23rd Avenue,Portland,Oregon
Imperial Stout,1070,765,American-Style Stout,North American Ale,Lagunitas Brewing Company,1280 North McDowell Boulevard,Petaluma,California
Irvington Porter,1122,16,Porter,Irish Ale,Alameda Brewhouse,4765 NE Fremont,Portland,Oregon
Honey Ale,1267,1101,American-Style Lager,North American Lager,San Marcos Brewery & Grill,1080 West San Marcos Boulevard,San Marcos,California
Imperial Stout,1338,602,American-Style Stout,North American Ale,Great Dane Pub and Brewing #1,123 East Doty Street,Madison,Wisconsin
Top Heavy Hefeweizen,1466,983,South German-Style Hefeweizen,German Ale,Piece,1927 West North Avenue,Chicago,Illinois
Alpine Glow Red Ale,1751,754,American-Style Amber/Red Ale,North American Ale,Krogh's Restaurant and Brewpub,23 White Deer Plaza,Sparta,New Jersey
120 Minute IPA,3950,459,Imperial or Double India Pale Ale,North American Ale,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware
Fallen Angel,4100,858,Belgian-Style Pale Strong Ale,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Edmund Fitzgerald Porter,4365,605,Porter,Irish Ale,Great Lakes Brewing,2516 Market Avenue,Cleveland,Ohio
Wobbly Bob Dopplebock,4798,1309,German-Style Doppelbock,German Lager,Union Barrel Works,6 N. Reamstown Road,Reamstown,Pennsylvania
Cascazilla,4870,705,American-Style Amber/Red Ale,North American Ale,Ithaca Beer Company,600 Elmira Road,Ithaca,New York
DuganA IPA,5687,62,Imperial or Double India Pale Ale,North American Ale,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado
Captin Lawrence Smoked Porter,5748,341,Porter,Irish Ale,Captain Lawrence Brewing Company,99 Castleton Street,Pleasantville,New York
Fall Festivus Ale,5854,415,American-Style Amber/Red Ale,North American Ale,Cricket Hill,24 Kulick Road,Fairfield,New Jersey
Classic American Pale Ale,3023,599,American-Style Pale Ale,North American Ale,Gray Brewing,2424 West Court Street,Janesville,Wisconsin
Doggie Style Ale,3362,540,American-Style Pale Ale,North American Ale,Flying Dog Brewery,2401 Blake St.,Denver,Colorado
Christmas Ale,3366,236,American-Style Brown Ale,North American Ale,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado
Old Horizontal,3828,1326,American-Style Barley Wine Ale,North American Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Fall Fest,2508,317,German-Style Oktoberfest,German Lager,Bull & Bush Pub & Brewery,4700 Cherry Creek Drive South,Denver,Colorado
Pale Ale,2573,1340,American-Style Pale Ale,North American Ale,Water Street Lake Country,3191 Golf Road,Delafield,Wisconsin
Bavarian Weiss Beer,2575,1340,South German-Style Hefeweizen,German Ale,Water Street Lake Country,3191 Golf Road,Delafield,Wisconsin
Fighting Finches Bock,2637,1301,German-Style Heller Bock/Maibock,German Lager,Tyranena Brewing,1025 Owen Street,Lake Mills,Wisconsin
Stillwater Stout,2647,1065,American-Style Stout,North American Ale,Rock Bottom Restaurant & Brewery - Milwaukee,740 North Plankinton Avenue,Milwaukee,Wisconsin
Abbey Ale,5907,10,Classic English-Style Pale Ale,British Ale,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Port Washington Amber Ale,1393,676,American-Style Amber/Red Ale,North American Ale,Hops Haven Brew Haus,1327 North 14th Street,Sheboygan,Wisconsin
India Pale Ale,1489,47,American-Style Pale Ale,North American Ale,Arcadia Brewing,103 West Michigan Avenue,Battle Creek,Michigan
Weissbier,1879,888,South German-Style Hefeweizen,German Ale,Moosejaw Pizza & Dells Brewing Company,110 Wisconsin Dells Parkway South,Wisconsin Dells,Wisconsin
Dublin Dunkelweizenbock,2208,591,South German-Style Weizenbock,German Ale,Govnor's Public House,220 North Randall Road,Lake In The Hills,Illinois
Ziggy Socky Premium Lager Beer,2348,969,American-Style Lager,North American Lager,Panther Brewing Company,Utica NY 13502,Utica,New York
Wicked Ale,2368,978,American-Style Brown Ale,North American Ale,Pete's Brewing,14800 San Pedro Avenue,San Antonio,Texas
Nitro Porter,150,1264,Porter,Irish Ale,Thunderhead Brewery #2,120 East Third Street,Grand Island,Nebraska
New World Wheat,255,1265,American-Style Lager,North American Lager,Tied House Cafe & Brewery - San Jose,65 North San Pedro,San Jose,California
Hop Trip Fresh Hop Pale Ale,411,441,American-Style Pale Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Blackstone Stout,940,1315,American-Style Stout,North American Ale,Upstream Brewing Company at Legacy,17070 Wright Plaza,Omaha,Nebraska
Featherweight Lager,976,1158,American-Style Lager,North American Lager,Sly Fox Brewhouse and Eatery - Royersford,312 North Lewis Road,Royersford,Pennsylvania
Alaskan Pale,4080,17,Golden or Blonde Ale,North American Ale,Alaskan Brewing,5429 Shaune Drive,Juneau,Alaska
Alaskan ESB,4082,17,Extra Special Bitter,British Ale,Alaskan Brewing,5429 Shaune Drive,Juneau,Alaska
Altbier,5155,1170,German-Style Brown Ale/Altbier,German Ale,Southampton Publick House,40 Bowden Square,Southampton,New York
Wapiti Amber Ale,5236,876,American-Style Amber/Red Ale,North American Ale,Mogollon Brewing Company,4366 Huntington Dr,Flagstaff,Arizona
Abbey IPA,5251,1090,Other Belgian-Style Ales,Belgian and French Ale,Sacramento Brewing Company,2713 El Paseo Lane,Sacramento,California
Wheatley Hills Weizenbock,5257,1245,South German-Style Hefeweizen,German Ale,The Blind Bat Brewery LLC,420 Harrison Drive,Centerport,New York
Willow Wheat,5598,1015,Light American Wheat Ale or Lager,Other Style,Prescott Brewing Company,130 W Gurley St,Prescott,Arizona
Ozzy,4495,242,Other Belgian-Style Ales,Belgian and French Ale,Brewer's Art,1106 N. Charles St.,Baltimore,Maryland
Jubilee Ale,1088,702,Old Ale,British Ale,Island Brewing Company,5049 Sixth Street,Carpinteria,California
IPA,1109,1119,American-Style India Pale Ale,North American Ale,Schooner's Grille & Brewery,4250 Lone Tree Way,Antioch,California
LTD 02 Lager,130,562,Traditional German-Style Bock,German Lager,Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon
Stout,323,515,American-Style Stout,North American Ale,Faultline Brewing #1,1235 Oakmead Parkway,Sunnyvale,California
2Â° Below,416,905,Extra Special Bitter,British Ale,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado
Wilsteraner Altbier,658,590,American-Style Brown Ale,North American Ale,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska
Salvation,4905,56,American-Style India Pale Ale,North American Ale,Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan
Yards Love Stout,4974,1383,American-Style Stout,North American Ale,Yards Brewing,2439 Amber Street,Philadelphia,Pennsylvania
Firestole Pale 31,5427,524,American-Style Pale Ale,North American Ale,Firestone Walker Brewing Company,1400 Ramada Drive,Paso Robles,California
Strike Out Stout,5552,398,American-Style Stout,North American Ale,Cooperstown Brewing Company,"River Street, P.O. Box 276",Milford,New York
Three Guy Off The Scale Barley Wine,5803,426,American-Style Barley Wine Ale,North American Ale,Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,Michigan
Eccentric Ale,3213,501,American-Style Brown Ale,North American Ale,Empyrean Brewing Company,729 Q Street,Lincoln,Nebraska
Total Eclipse Black Ale,3461,674,American-Style Stout,North American Ale,Hoppy Brewing Company,6300 Folsom Boulevard,Sacramento,California
DPA,3517,1029,American-Style Pale Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Troegenator Double Bock,3748,1286,German-Style Doppelbock,German Lager,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Oatmeal Stout,3751,1286,American-Style Stout,North American Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Piels Draft,3886,963,American-Style Light Lager,North American Lager,Pabst Brewing Company,PO Box 1661,San Antonio,Texas
Samuel Adams Summer Ale,3916,157,Light American Wheat Ale or Lager,Other Style,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Sprecher Maibock,2003,1181,German-Style Heller Bock/Maibock,German Lager,Sprecher Brewing,701 West Glendale Avenue,Glendale,Wisconsin
Heritage Scottish Ale,2026,94,Scotch Ale,British Ale,Bear Republic Brewery,345 Healdsburg Avenue,Healdsburg,California
Trolleycar Stout,2046,552,American-Style Stout,North American Ale,Fox River Brewing #1,1501 Arboretum Drive,Oshkosh,Wisconsin
Clearwater Light,2503,675,American-Style Lager,North American Lager,Hops Grillhouse & Brewery - Cherry Creek,149 Steele Street,Denver,Colorado
Cassis Reserve Lambic â€˜06,4114,106,Belgian-Style Fruit Lambic,Belgian and French Ale,Bethlehem Brew Works,569 Main St,Bethlehem,Pennsylvania
American Amber Ale,4173,1072,American-Style Amber/Red Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Orthus Belgian Dubbel,4223,1255,Belgian-Style Dubbel,Belgian and French Ale,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
McNellie's Pub Ale,4650,831,Special Bitter or Best Bitter,British Ale,Marshall Brewing Company,618 S. Wheeling Ave,Tulsa,Oklahoma
Shut The Hell Up,4699,1244,English-Style Pale Mild Ale,British Ale,The Alchemist,23 South Main Street,Waterbury,Vermont
Brau Light,1012,227,American-Style Lager,North American Lager,Brauhaus Brew Hall,111 Main Street,Lucan,Minnesota
Oktoberfest,1925,596,German-Style Oktoberfest,German Lager,Granite City Food & Brewery - Saint Cloud,3945 Second Street South,Saint Cloud,Minnesota
Porter,46,901,Porter,Irish Ale,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska
Lunar Ale,214,161,American-Style Brown Ale,North American Ale,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
Breath of the Dragon English Bitter,4917,463,Classic English-Style Pale Ale,British Ale,Dragonmead Microbrewery,14600 East Eleven Mile Road,Warren,Michigan
Mammoth Extra Stout,4959,858,American-Style Stout,North American Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Calico Amber Ale,5133,68,American-Style Amber/Red Ale,North American Ale,Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,California
Samuel Adams Imperial Stout,5261,157,American-Style Imperial Stout,North American Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts
555 IPA,5371,1250,American-Style India Pale Ale,North American Ale,The Livery,190 5th Street,Benton Harbor,Michigan
Sunna Wit,5568,1282,Belgian-Style White,Belgian and French Ale,Trinity Brewing Company,1446 Garden of the Gods,Colorado Springs,Colorado
Heavy Seas Prosit! Imperial Oktoberfest Lager,5588,385,German-Style Oktoberfest,German Lager,Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,Maryland
Roland's ESB,5614,51,Extra Special Bitter,British Ale,Asheville Pizza and Brewing Co.,675 Merrimon Avenue,Asheville,North Carolina
Hop Mountain,5678,940,American-Style Pale Ale,North American Ale,Old Dominion Brewing Co.,1284 McD Drive,Dover,Delaware
Founders Breakfast Stout,4589,549,American-Style Imperial Stout,North American Ale,Founders Brewing,235 Grandville Avenue SW,Grand Rapids,Michigan
Woody's Light,4851,1219,American-Style Pale Ale,North American Ale,Sullivan's Black Forest Brew Haus & Grill,281 Heinlein Strasse,Frankenmuth,Michigan
Baltic Thunder,3971,1326,American-Style Stout,North American Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Roxy Rolles,4159,812,American-Style Amber/Red Ale,North American Ale,Magic Hat,5 Bartlett Bay Road,South Burlington,Vermont
RedLegg Ale,4320,83,American-Style Amber/Red Ale,North American Ale,Barrel House Brewing Co.,544B W. Liberty St.,Cincinnati,Ohio
Leinenkugel's Summer Shandy,4336,708,Light American Wheat Ale or Lager,Other Style,Jacob Leinenkugel Brewing Company,1 Jefferson Avenue,Chippewa Falls,Wisconsin
Alpenhof Baltic Porter,2038,493,Porter,Irish Ale,Ellicott Mills Brewing,8308 Main Street,Ellicott City,Maryland
Midnight Stout,2088,943,American-Style Stout,North American Ale,Olde Peninsula Brewpub and Restaurant,200 East Michigan Avenue,Kalamazoo,Michigan
Red Alert Ale,2457,1027,American-Style Amber/Red Ale,North American Ale,Pumphouse Brewery & Restaurant,540 Main Street,Longmont,Colorado
Heartland Weiss,2952,725,South German-Style Hefeweizen,German Ale,JT Whitney's Brewpub and Eatery,674 South Whitney Way,Madison,Wisconsin
Apricot Wheat,3518,1029,Light American Wheat Ale or Lager,Other Style,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Budweiser Select,3785,44,American-Style Light Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Muse Farmhouse Ale,3936,1352,French & Belgian-Style Saison,Belgian and French Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Sweeney Stout,3157,32,American-Style Stout,North American Ale,America's Brewing,205 North Broadway,Aurora,Illinois
Dark,3226,1365,Porter,Irish Ale,Wild River Brewing and Pizza - Cave Junction,249 North Redwood Highway,Cave Junction,Oregon
Mission Gorge Porter,1248,1100,Porter,Irish Ale,San Diego Brewing,10450-L Friars Road,San Diego,California
Dark Ale,1806,135,American-Style Lager,North American Lager,Black Toad Brewing Company,Chicago IL 60612,Chicago,Illinois
Rubaeus,4590,549,Fruit Beer,Other Style,Founders Brewing,235 Grandville Avenue SW,Grand Rapids,Michigan
Wheatland Wheat,4812,853,American-Style Pale Ale,North American Ale,Michigan Brewing,1093 Highview Drive,Webberville,Michigan
Low Country Light Lager,2109,1229,American-Style Lager,North American Lager,"T-Bonz Gill, Grill and Brewery",1028 Johnny Dodds Boulevard,Mount Pleasant,South Carolina
Schlafly Altbier,2137,1092,American-Style Brown Ale,North American Ale,Saint Louis Brewery / Schlafy Tap Room,2100 Locust Street,Saint Louis,Missouri
Lichthaus Lager,2597,651,American-Style Lager,North American Lager,Hereford & Hops Restaurant and Brewpub #1,624 Ludington Street,Escanaba,Michigan
Big Horn Fort Collins Stout,2974,326,American-Style Stout,North American Ale,C.B. & Potts of Cheyenne,1650 Dell Range Boulevard,Cheyenne,Wyoming
Stony Face Red Ale,4626,674,American-Style Amber/Red Ale,North American Ale,Hoppy Brewing Company,6300 Folsom Boulevard,Sacramento,California
Planet Porter / Boulder Porter,346,160,Porter,Irish Ale,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado
Puget Porter,789,966,Porter,Irish Ale,Pacific Rim Brewing,9832 14th Avenue SW,Seattle,Washington
Pennypacker Porter,3805,45,Porter,Irish Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Winter Ale,3921,1352,Winter Warmer,Other Style,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Red Eye Lager,2987,1271,American-Style Lager,North American Lager,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado
Berghoff Original Lager Beer,3099,868,American-Style Lager,North American Lager,Minhas Craft Brewery,1208 14th Avenue,Monroe,Wisconsin
Shiner Kosmos Reserve,3102,1179,American-Style Lager,North American Lager,Spoetzl Brewery,603 East Brewery Street,Shiner,Texas
Lectio Divina,5046,1093,Other Belgian-Style Ales,Belgian and French Ale,Saint Somewhere Brewing Company,1441 Savannah Ave Unit E,Tarpon Springs,Florida
Brookie Brown Ale,5081,490,American-Style Brown Ale,North American Ale,Elk Creek Cafe and Aleworks,100 West Main Street PO Box 432,Millheim,Pennsylvania
Climax IPA,5201,384,American-Style India Pale Ale,North American Ale,Climax Brewing Copmany,112 Valley Road,Roselle Park,New Jersey
Double Mountain Altbier,5248,462,German-Style Brown Ale/Altbier,German Ale,Double Mountain Brewery & Taproom,8 Fourth Street,Hood River,Oregon
Glockenspiel,5560,605,South German-Style Weizenbock,German Ale,Great Lakes Brewing,2516 Market Avenue,Cleveland,Ohio
The Oracle DIPA,5584,100,Imperial or Double India Pale Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Black Stallion Oatmeal Stout,5640,1223,Oatmeal Stout,British Ale,Sweet Water Tavern and Brewery,45980 Waterview Plaza,Sterling,Virginia
Trickster Belgian-style Pumpkin Ale,5682,858,Pumpkin Beer,Other Style,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Terrapin Coffee Oatmeal Imperial Stout,5715,1243,American-Style Imperial Stout,North American Ale,Terrapin Beer Company,196 Alps Road,Athens,Georgia
Batch 666,5827,45,Winter Warmer,Other Style,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Coronado Golden Ale,1244,404,German-Style Pilsener,German Lager,Coronado Brewing Company,170 Orange Avenue,Coronado,California
Cream Ale,1443,1263,American-Style Lager,North American Lager,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
Double Gueuze (discontinued),1447,590,Belgian-Style Fruit Lambic,Belgian and French Ale,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska
XX Black Angus Stout,340,795,American-Style Stout,North American Ale,Little Apple Brewing,1110 Westloop Center,Manhattan,Kansas
Wildcat Wheat,344,795,American-Style Lager,North American Lager,Little Apple Brewing,1110 Westloop Center,Manhattan,Kansas
BiFrÃ¶st Winter Ale,689,496,American-Style Pale Ale,North American Ale,Elysian Brewery & Public House,1221 East Pike Street,Seattle,Washington
Pig Pen Pilsener,4105,25,German-Style Pilsener,German Lager,Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania
Sierra Nevada Pale Ale,4271,1142,American-Style Pale Ale,North American Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Barney Flats Oatmeal Stout,4347,41,American-Style Stout,North American Ale,Anderson Valley Brewing,17700 Boonville Rd,Boonville,California
Bankers Gold,4562,35,Golden or Blonde Ale,North American Ale,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts
Scratch #10 2008,4647,1286,Belgian-Style Tripel,Belgian and French Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Baron Helles Bock,5110,82,German-Style Heller Bock/Maibock,German Lager,Baron Brewing Company,1605 S 93rd Building E Unit L,Seattle,Washington
Two Guns Pilsner,5125,1379,German-Style Pilsener,German Lager,Wynkoop Brewing,1634 18th Street,Denver,Colorado
Oak-Aged Imperial Chocolate Pumpkin Porter,5221,858,Porter,Irish Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Sea Dog Raspberry Wheat Ale,5452,1125,Light American Wheat Ale or Lager,Other Style,Sea Dog Brewing Company,26 Front Street,Bangor,Maine
Amber Ale,3465,562,American-Style Amber/Red Ale,North American Ale,Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon
Stillwater Stout,3486,1067,American-Style Stout,North American Ale,Rock Bottom Restaurant & Brewery - San Jose,1875 South Bascom Avenue #700,Campbell,California
Yuengling Lager Light,3813,1388,American-Style Light Lager,North American Lager,Yuengling & Son Brewing,310 Mill Creek Avenue,Pottsville,Pennsylvania
Nut Brown Ale,2047,552,American-Style Brown Ale,North American Ale,Fox River Brewing #1,1501 Arboretum Drive,Oshkosh,Wisconsin
Hefeweizen,2189,652,American-Style Lager,North American Lager,Hereford & Hops Steakhouse and Brewpub #3,2201 Sherman Street,Wausau,Wisconsin
Black Diamond Porter,2951,725,Porter,Irish Ale,JT Whitney's Brewpub and Eatery,674 South Whitney Way,Madison,Wisconsin
Pig Iron Porter,1007,700,Porter,Irish Ale,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware
Smoked Porter,1172,869,American-Style Lager,North American Lager,Minneapolis Town Hall Brewery,1430 Washington Avenue South,Minneapolis,Minnesota
Capital Fest Beer,1525,338,German-Style Oktoberfest,German Lager,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
Winter Brew,1711,1181,Traditional German-Style Bock,German Lager,Sprecher Brewing,701 West Glendale Avenue,Glendale,Wisconsin
Honey Weiss (discontinued),1718,1039,American-Style Lager,North American Lager,Rail House Restaurant and Brewpub,2029 Old Peshtigo Road,Marinette,Wisconsin
North Star Premium Lager,1919,1066,American-Style Lager,North American Lager,Rock Bottom Restaurant & Brewery - Minneapolis,800 LaSalle Plaza,Minneapolis,Minnesota
Saranac Black Forest,4598,512,German-Style Schwarzbier,German Lager,F.X. Matt Brewing,811 Edward Street,Utica,New York
Big Red Imperial Red Ale,4883,1173,American-Style Amber/Red Ale,North American Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Pumking Imperial Pumpkin Ale,4886,1173,Pumpkin Beer,Other Style,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Old Davenport Gold,3050,559,American-Style Pale Ale,North American Ale,Front Street Brewery,208 East River Drive,Davenport,Iowa
Geordie Brown Ale,3199,585,American-Style Brown Ale,North American Ale,Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois
Michelob Pale Ale,3579,44,American-Style Pale Ale,North American Ale,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Lucky Kat,3810,812,American-Style India Pale Ale,North American Ale,Magic Hat,5 Bartlett Bay Road,South Burlington,Vermont
Old Scratch Lager,4002,540,American-Style Amber/Red Ale,North American Ale,Flying Dog Brewery,2401 Blake St.,Denver,Colorado
Best Brown Ale,4137,100,American-Style Brown Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Kells Irish Style Lager,4208,1072,American-Style Lager,North American Lager,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Allagash White,4282,23,Belgian-Style White,Belgian and French Ale,Allagash Brewing,100 Industrial Way,Portland,Maine
Graduation Ale,4556,35,American-Style Pale Ale,North American Ale,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts
Chessie Cherry,2054,536,Light American Wheat Ale or Lager,Other Style,Flossmoor Station Brewery,1035 Sterling Avenue,Flossmoor,Illinois
Capital Dark Doppelbock,2804,338,German-Style Doppelbock,German Lager,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
1916 Irish Stout,656,590,American-Style Stout,North American Ale,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska
Glissade Golden Bock,4980,1142,German-Style Heller Bock/Maibock,German Lager,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Saturn - Belgian-style Fresh Hop IPA,5010,858,Other Belgian-Style Ales,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
